french,nature,eton
maïs (sp),n.,bə̀bə́ bə́ sádyâ
maïs (sp),n.,m-ìz mə́ sádyâ
émasculer,n adj.,ŋm̀-ŋmǎg
massage,n.,ì-wúdâ
massage,n.,ǹ-wúdnə́ŋgánâ
massage (sp),n.,m̀-máb
masser,v.,báb
masser,v.,wúd
massivement,adv.,lìbìg
maternel (oncle ),n.,ɲà ndómô
matin,n.,cə́
matin,n.,kə́kídâ
maître,n.,ɲ̀-ɲə́glə́
maîtresse,n.,ì-bwàn
maturité,n.,à-mòd
maturité,n.,à-tǐg
maudire,v.,jɔ̀g
maudire (sp),v.,ŋgə́m
maudire (sp),v.,pònì
maugréer,v.,dɔ̀gdàn
maugréer,v.,ɲíŋ
maussade,n adj.,ù-sùsùdà
mauvais,n adj.,à-bé
mauvais (être_),v.,bə́b
mbitacola,n.,ɲɛ̀l
méchanceté,n.,à-jòl ńnə́m
méchanceté,n.,ɛ̀-tóm
méchanceté,n.,mə̀-tóm
méchant,n adj.,à-bé
méchant (être_),v.,tómbô
mâchoire,n.,ŋm̀-kpə́m
médecin,n.,dɔ́bdɔ̂
médicament,n.,byàŋ
médicament (sp),n.,ndwì
médicament (sp),n.,ŋ́kɛ́nə̂
médisance,n.,ndə́ndɔ́ŋ
médisance,n.,ɲ̀-cwǎz
médisance,n.,ù-sɔ̀g
méditer,v.,bìzlànà
méditer,v.,sóŋ
âme,n.,ɲ̀-cíꜜɲcím
meliacée (sp),n.,à-sə̀
meliacée (sp),n.,ì-dú ásə̂
melon,n.,ɛ̀-bɔ̌g
melon,n.,ɛ̀-lɔ́g
membre (anat.),n.,ì-dò
menottes,n.,háŋkwâb
mensonge,n.,m̀-pùgá
mensonge,n.,ǹ-dùgní
mensonge,n.,ǹ-nǎl
menteur (être_),v.,nàlbà
mentir,v.,bád
mentir,v.,dùgà
mentir,v.,dùgnì
menton,n.,ì-yə̀gzà
menuisier,n.,kábínâ
mer,n.,m-áŋ
mercredi,n.,nà
merde,n.,mə̀-bí
émerveiller (s’_ ),v.,kám
mes,pro.,-a̋mà
message (sp),n.,ndwà
messe,n.,cwáz
messe,n.,mɛ́z
mesurer,v.,və̀g
mesurette,n.,dóz
mets,n.,ŋ̀-kóngí
mets (sp),n.,lɔ̀mɔ̀
mettre,v.,pùdì
mettre,v.,tɛ́lî
mettre aux soins,v.,pílî
mettre bas,v.,wɔ́
mettre (se ),v.,bɛ̀dbə̀
méfiant,n.,ù-bàŋgí
mfumbua,n.,ù-kɔ̀g
midi,adv.,tólbé
miel,n.,w-ěy
miette,n.,ɛ̀-ɲùŋà
mieux,adv.,bɛ́də̂
mil,n.,ù-vùg
Milicia excelsa,n.,à-bàŋ
milieu,n.,zǎŋ
militaire,n.,bə̀zìmì
mille milliers,n.,àkúdâ
mille-pattes,n.,ŋgɔ̌y
mille-pattes (sp),n.,ù-lɛ̀də̀
Mimosa pudica,n.,wú úꜜswánɔ̂
mimosacée (sp),n.,à-tú
mimosacée (sp),n.,ǹ-tɔ́
Mimusops congolensis,n.,à-jàb zɔ̂g
Mimusops djave,n.,à-jàb
mince,n adj.,à-bwád
mince (être_),v.,bwádbɔ̂
minceur,n adj.,à-bwád
mineur,n adj.,ǹ-tɔ́gɔ̂
minuscule,n adj.,cə́cɔ́dɔ́
minute,n.,ì-nútɛ̂n
miroir,n.,ì-yɛ́n
mise au point,n.,ǹ-tágní
mission,n.,míswân
Mitragyna stipulosa,n.,ì-lə̀lɔ̀m
mélanger,v.,sáb
mêlée,n.,ì-tɔ̀m
même,n.,sêm
même,prt.,íꜜmɛ́n
même si,sub.,tɔ̀
mémoire,n.,ǹ-nó
mémoire,n adj.,ù-bíz
ménage,n.,ndá ɛ̀bá
moabi,n.,à-jàb
moche,n adj.,à-bé
moche (être_),v.,bə́b
modeler,v.,míŋlá
modifier,v.,sá
modèle,n.,pàdnà
moelle osseuse,n.,pɔ́ŋ
moelle épinière,n.,pɔ́ŋ
moelleux,n adj.,ì-bùbùd
moindre,n adj.,ǹ-tɔ́gɔ̂
moineau,n.,mbàŋkùmà
mois,n.,ŋgwàn
moisir,v.,lùzà
moitié,n.,ì-tùn
moitié (récipient à ),n.,ì-sə̌g
molaire,n.,ì-kə̀g
molesse,n.,à-tə̌g
mollet,n.,ŋm̀-ŋmɛ́n
moment,n.,ɛ̀-pólô
moment,n.,ɲ̀-ɲə̀
momentané,n.,ndòn
mon,pro.,-a̋mà
mone,n.,ɛ̀-sùná
monnaie,n.,cáz
monnaie,n.,cɛ́nî
monnaie,n.,d-ɔ́lɔ̂
monnaie,n.,ì-kpàm
monnaie,n.,tɔ̀lápɛ̂n
monnaie (sp),n.,kábâ
monnaie (sp),n.,síngì
Monsieur,n.,ǹ-tí
montant,n.,ŋ̀-kòm
montant (obtenu en ),n adj.,ì-bɛ́də̂
montant (piège),n.,ǹ-núm
montée,n.,m̀-pə́b
monter,v.,bɛ́d
monter,v.,jàm
monter,v.,pə́b
monticule,n.,ì-kǒl
monticule,n.,kòn
montrer,v.,lɛ́də̂
montrer les fesses,v.,ŋgə́m
montrer les fesses,v.,pònì
moquer,v.,dɔ̀glɔ̀
moquer (se),v.,kpɛ́lî
moquer (se ) (sp),v.,sə̀glə̀
moquerie,n.,bì-jǎ
moquerie,n.,ì-kpɛ́lí
moqueur,n adj.,à-ɲɔ̀g
moqueur,n adj.,bì-lɔ̀bí
moracée,n.,tɔ̌l
moracée (sp),n.,à-bàŋ
moracée (sp),n.,áꜜlɔ́gɔ́
moracée (sp),n.,ì-tùb
morceau,n.,ì-bǎb
morceau,n.,ì-cíìgà
morceau,n.,ì-pɛ́z
morceau,n.,ì-tùn
mordre,v.,kòglò
mordre,v.,lób
morpion,n.,ì-lád
mort,n.,à-wú
mortier,n.,ɲ̀-cɔ́bɔ́
mortification,n.,mə̀-túg
Morus excelsa,n.,à-bàŋ
morve,n.,ì-swáz
mot,n.,ì-búg
mou,n adj.,ì-bùbùd
mou,n adj.,ǹ-tə̀gní
mouche,n.,ǹ-nɔ̌y
mouche maçonne,n.,mbúꜜmbwí
mouche (sp),n.,bə́bə̂ŋə̀
mouche (sp),n.,ù-mbóŋ
mouche tsétsé (sp),n.,ù-bòg
moucher (se ),v.,sɔ̀zbàn
moucheron (sp),n.,ù-bǐg
moudre,v.,kɔ̀g
mouillé (être_),v.,sín
mouler,v.,mə̀
mourir,n.,jɔ̌m
mourir,v.,jíî
mourir,v.,jɔ̀glàn
mourir,v.,kə̀glàn
mourir,v.,pànì
mourir,v.,wú
mourir (sp),v.,màŋzànà
émoussé,n adj.,à-tǔl
émoussé,n adj.,m̀-pím
émoussé (être_),v.,tùl
mousse,n.,ì-vúvûz
moustac,n.,ù-sǒg
moustache,n.,ɛ̀-bùb
moustache,n.,ǹ-nàg
moustique,n.,ì-ɲə́ɲɔ́ŋ
moute-moute,n.,ù-pìŋgwě
mouton,n.,kábdì
mouton,n.,ǹ-tómó
mouvoir,v.,ndə́ŋ
movingui,n.,ì-jɛ̀n
mépris,n.,ì-byàní
mépriser,v.,byànì
mépriser,v.,sə́ŋ
mûr,n adj.,ì-vɔ̀
mûr,n adj.,ɲ́câ
mûr (sp),n adj.,ŋ̀-kúz
mûr (sp),n adj.,ɲ̀-cùd
mûr (être_),v.,tìg
mûr (être_),v.,vɔ̀
mère,n.,nà
mère,n.,ɲǎ
mère,n.,ɲ̀-ɲə́ꜜɲá
mère (de l’interlocuteur),n.,ɲɔ̌
mère (d’égo),n.,màŋá
mûrir,v.,tə̀g
mûrir,v.,və̀
mûrir (d’un abcès),v.,víblá
météore,n.,ù-tə́tɛ̂d
muet,n.,m̀-múg
mukulungu,n.,à-jàb zɔ̂g
multiplication,n.,ì-bùlà
multiplier,v.,bùlà
multiplier,v.,pòlò
munitions,n.,ɛ̀-kɔ̌ŋ
mur,n.,m̀-pìm
mûr (non ),n adj.,ì-lə̀lə̀g
murmure,n.,mə̀-ɲíŋ
murmurer,v.,ɲíŋ
murmurer,v.,ɲíŋ
Musanga cecropioides,n.,à-sə́ŋ
Musanga cecropioides,n.,ɛ̀-sə́ŋ
museau,n.,m̀-móm
musicien,n.,m̀-mòm
musique,n.,mə̀-zíg
musique (sp),n.,ì-kùd àwú
musizi,n.,ŋ̀-káŋlá
musodo,n.,ì-zə́záŋ
mutité,n.,mbúg
mutondo,n.,ndàm ìbùm
"mvet , guitare , instrument",n.,mbɛ́d
Mycobacterium ulcerans,n.,à-tɔ̌m
mygale,n.,ŋgám
Myopithecus talapoin,n.,ù-ŋgɛ̌z
myriade,n.,àkúdâ
Myrianthus arboreus,n.,ì-kə́kɔ́m
mystique,n.,à-lú
né (dernier ),n.,mə̀màn àwó
nabot,n.,ì-ŋgə̀gə̀
naïf,n.,m-ɔ̀ŋɔ́
naïf,n adj.,ì-mbón
naïf (être_),v.,zə̀mbə̀
nager,v.,jwág
nain,n.,ì-núŋá
nain,n adj.,ù-bòm
naissance,n.,ɛ̀-wálî
Naja nigricollis,n.,ŋgɔ̀jɔ̀mɔ́
Nandinia binotata,n.,mbày
nandinie,n.,mbày
nasse,n.,ɛ̀-jà
nasse,n.,ɲ̀-cɔ̀ŋ
nasse (sp),n.,ɲ̀-cǎl
naître,v.,wálî
natte,n.,ì-kàlì
Nauclea pobeguinii,n.,ì-ndə̀ndìŋ
naïveté,n.,ì-lə̀ŋə̀
ndole,n.,ɛ̀-tɛ́d
âne,n.,úzêlé
Neotragus batesi,n.,ù-jɔ́
nervure,n.,kɔ̂
net,adv.,kpáám
net (être_),v.,púb
nettoyer,v.,púbâ
nettoyer,v.,sò
nettoyer (sp),v.,kùl
neuf,num.,ìbùù
neveu,n.,m-wán
nez,n.,d-ǒy
nez (sp),n.,ù-tə̌m ꜜdóy
négligence,n.,ì-lɛ̌z
négligence,n.,pɔ̀ŋɔ́
niais,n adj.,ì-mbón
niais,n adj.,kpə́g
nièce,n.,m-wán
nid,n.,d-ùmá
nid,n.,j-ɔ̌g
njangsa,n.,ì-zə́záŋ
njansang,n.,ì-zə́záŋ
noble,n.,m̀-mɛ́n
noble,n.,ǹ-tí
noble,n adj.,à-tí
nocturne (activité ),n.,mbànà
noir,n.,à-vín
noir,n adj.,ì-vívínî
noir foncé,idéo.,vyùúg
noise,v.,cə̀g
noisette,n.,kómî
noix,n.,m̀-mǎŋ
noix de coco,n.,mbòní
noix de palme,n.,ì-tòŋ
noix de palme,n.,mbí
noix de palme,n.,sɔ́
noix de palme (sp),n.,ŋm̀-ŋmə́
noix de palmiste,n.,ɛ̀-ɲə̀ŋə̀
noix palmiste,n.,m̀-mǎŋ
noix palmiste (débris de ),n.,ù-báz ḿꜜmáŋ
nom,n.,d-ǒy
nom,n.,ì-yòlò
nom (sp),n.,mə̀-tàmná
nom (sp),n.,ndán
nombre,n.,nwàmɔ̀
nombre,n.,táŋ
nombreux,n adj.,ì-bə̀bə́g
nombreux (être_),v.,pò
nombril,n.,d-ɔ̌b
nommer,v.,bòmlò
nommer,v.,yòlò
non,int.,àyâá
non mûr,n adj.,ì-lə̀lə̀g
non-aiguisé,n adj.,m̀-pím
nonchalant,idéo.,lə̀mzə̀ lə̀mzə̀
nonchalant,n adj.,ù-bùbwàd
non-mûr,n adj.,ì-káꜜsáŋ
non-mûr,n adj.,ndǎn
non-mûr (sp),n adj.,ì-bɔ́dɔ́
non-mûr (sp),n adj.,ì-jɔ́ŋ
non-mûr (sp),n adj.,ì-pɔ́lɔ́
non-mûr (sp),n adj.,ì-tòdò
non-mûr (sp),n adj.,ḿmáyâgà
non-mûre,n adj.,ì-jwází
non-sens,n.,pídí pɔ̂
normal,n adj.,páŋ
énorme,n adj.,kɔ̀mkɔ̀m
énorme (sp),n adj.,màmà
nos,pro.,-èèní
notable,n adj.,ɲ̀-ɲóm
notre,pro.,-èèní
nouer,v.,làd
nourrir,v.,tɔ̀ŋ
nourriture,n.,ɛ̀-dí
nouveauté,n.,ì-pə́pâmà
nouvelle,n.,pɔ́
nouvelle alarmante,n.,ndùà
nouvelle (sp),n.,ndwà
nu,n.,ǹ-nə́ŋ
nu,n adj.,ndógdó
nu,n adj.,ɲ̀-cɔ́
nuage,n.,ì-báz í yó
nœud,n.,ɛ̀-tǐŋ
nuisance,n.,mə̀-tóm
nuit,n.,à-lú
nul,n adj.,zə̀zè
numéro,n.,nwàmɔ̀
nuque,n.,kwàd cíŋ
nymphe,n.,kúŋgúzâ
nymphe,n.,ɲ́ꜜcígá
où?,adv.,və̋
obèche,n.,à-jòz
obéissance,n.,mə̀-wóg
objet mystique (sp),n.,ù-bǎŋ
obliger à,v.,nɔ̀dɔ̀
oblique (placer à l’ ),v.,sɛ́nî
oboto,n.,àbɔ̀l zwàg
obscénités,n.,mə̀-pódgân
obscénités (dire ),v.,pódgân
obscurité,n.,d-ìblâ
obstiné,n.,à-lɛ̀d ńnó
obstination,n.,ndɔ́g
obstination,n adj.,mə̀-lɔ́
occiput,n.,kɔ́g
ochnacée (sp),n.,ì-kógó
odeur,n.,ì-nǔm
odeur,n.,ì-sà
odeur,n.,zǐŋ
odeur rémanente,n.,ù-lwád
odeur (sp),n.,d-ěy
odeur (sp),n.,káŋ
Oenomys hypoxanthus,n.,ì-bɔ̀g
offrande,n.,àdmúsɛ̂n
offrande,n.,mə̀-túngà
offrir,v.,dázâ
offrir,v.,págâ
oignon,n.,ɛ̀-jǎŋ
oindre,v.,síì
oindre (s’_-),v.,síì
oindre (se ),v.,wɔ́gɔ̂
oiseau,n.,ù-nwǎn
oiseau (sp),n.,àmàn mə̀ndògò
oiseau (sp),n.,dùgá
oiseau (sp),n.,ɛ̀-pə̀b
oiseau (sp),n.,ì-kpá í ꜜŋmám
oiseau (sp),n.,káyám
oiseau (sp),n.,kwàwɔ́dɔ̂
oiseau (sp),n.,mbàŋkùmà
oiseau (sp),n.,ŋ́kə̂g mə̀bò
oiseau (sp),n.,ŋm̀-ŋmǎm
oiseau (sp),n.,ɲ̀-cìɲcàl
oiseau (sp),n.,ɲjɔ́lí
oiseau (sp),n.,ùnwàn kág
oiseau (sp),n.,ù-tɔ̀g
okok,n.,ù-kɔ̀g
okra,n.,pɛ̌z
olacacée (sp),n.,à-ŋgə̀g
olacacée (sp),n.,ì-wómî
ombrage,n.,ù-jíjîn
ombre,n.,ì-və́vɔ̂
omoplate,n.,ɛ̀-bán
omoplate,n.,ì-bə́báz
oncle maternel,n.,ɲà ndómô
oncle maternel (ton ),n.,ndómô
oncle paternel,n.,íꜜsá ndómô
oncle paternel,n.,íꜜsɔ́ ndómô
ongle,n.,j-ǎ
Ongokea gore,n.,à-ŋgə̀g
opinion,n.,cíŋ
opiniâtre,n adj.,bì-lə́lág
opiniâtreté,n.,à-lɛ̀d ńnó
opposition (faire ),v.,pɛ̀dnì
opération,n.,ì-sàlgà
opération,n.,ǹ-sàlní
opérer,v.,sàl
or,n.,gôl
or,n.,mbwád
orange,n.,òpùmá
ordonnancement,n.,ǹ-tágní
ordre (mettre de l’ ),v.,tág
ordures,n.,ŋgùn
oreille,n.,à-lɔ́
oreille interne,n.,ɲǎ àlɔ́
oreiller,n.,pílâ
organiser,v.,kòm
organiser,v.,sə̀
orgueil,n.,à-ŋgɔ̀ŋɔ̀
orgueil,n.,mə̀-bún
orgueil,n.,ù-mə̀m
orifice,n.,m̀-mɔ́g
origine,n.,ɛ̀-bòní
orphelin,n.,mɔ̌ ꜜɲwí
orphelin,n.,ɲwǐ
orteil,n.,ù-nǔŋ
os,n.,ì-vɛ̌z
ostentatoire,n adj.,ù-vɛ̀znì
otage,n.,ì-bán
ouate,n.,ndə̀b
oublier,v.,vúúnà
ouragan,n.,ŋ́kûlà
ourlet,n.,ì-ɲə́g
outrepasser,v.,dàŋ
outrepasser,v.,nə̀mnà
ouvert (être_),v rés.,pɔ̂
ouvert (être habituellement),v.,pɔ́ɔ́bɔ̂
ouvre-bouteilles,n.,mə́jwàg
ouvrir,v.,kúmdâ
ouvrir,v.,yázî
ouvrir (s’_ ),v.,kpá
oviducte (escargot),n.,ǹ-náŋ
Pachylobus macrophyllus,n.,tɔ̌m
padouk,n.,bázâ
padouk,n.,m̀-mɛ̀l
païen,n.,bə̀-tí
païen,n.,háydɛ̂n
pagayer,v.,dúg
pagne,n.,ì-kòb íjə́
pagne,n.,sànà
pain,n.,bɛ̀ɛ̀dí
pain (arbre à ),n.,ì-tùb
épais,n adj.,ǹ-tìgní
épais (être_),v.,pìb
épais (être_),v.,tìg
épaisseur,n.,à-tǐg
paix,n adj.,mbwàgí
palabre,n.,ɛ̀-vɔ́
palabre,n.,ì-jə́gî
palabres (sp),n.,áwú
palais,n.,ndá ànùŋ
palisser,v.,tónô
palme (noix de ),n.,mbí
palme (pulpe de noix de ),n.,ì-súg
palmier,n.,ɛ̀-lɛ́n
palmier à huile (sp),n.,ɲ̀-cə́glə́m
"palmier (déchet, fleur de ) (sp)",n.,m̀-mɔ̀ŋ lɛ́n
palmier (sp),n.,ì-vóy
palmier (sp),n.,ɲ̀-cwǎz
palmier (sp),n.,ù-tílîm
palmier taillé,n.,m̀-pón
palmier-raphia,n.,zàm
palmiste (rat ),n.,kwé ì sí
Paltothyreus tarsatus,n.,ǹ-tóntól
paludisme,n.,tíd mə̀cǐ
pamplemousse,n.,bìkàblí
pan,n.,à-lɔ́
Pan troglodytes,n.,wɔ̀gɔ̀
panache (réussir avec ),v.,nə̀g
panaris,n.,d-òngò
panaris,n.,ì-pə́pâmà
épandre,v.,ɲɛ̀d
épandre,v.,sɛ̀d
pangolin,n.,káy
pangolin (sp),n.,zɔ̀g ì káy
panicule,n.,sǎm
panier,n.,j-ǎd
panier (sp),n.,ɛ̀-ŋgùnà
panier (sp),n.,ì-sámŋí
panier (sp),n.,ŋ̀-kɔ́
panier (sp),n.,ŋmg͡bɛ́lmí
épanoui (champignon),n adj.,ì-làz
épanoui (pas encore ),n adj.,mbóm
épanouir (s’_ ),v.,bùgbàn
épanouissemnt,n.,mə̀-bùgbàn
panser (sp),v.,lə̀ŋ
pantalon,n.,twàlàsí
pantalon usé,n.,kùlbá
Panthera pardus,n.,zěy
panthère,n.,zěy
papaye,n.,pùpó
papayer,n.,pùpó
papier,n.,ɛ̀-pə́b
papier,n.,kálâdà
papier (sp),n.,mbɔ̀bɔ̀
papier verre,n.,ɛ̀-wúâ
paquet,n.,d-ǒm
paquet,n.,ɛ̀-púná
paquet,n.,ì-kúngà
paquet,n.,m̀-mwàm
par exprès,n.,ù-váŋ
paradis (grain de ),n.,ndóŋ
paralysé,n.,ì-bɔ́g
paralysée (personne ),n.,m̀-mə́mɔ́g
paralytique,n.,m̀-mə́móg
parapluie,n.,ù-tàn
parasite (plante ),n.,bád ɛ́wálî
parasolier,n.,à-sə́ŋ
parasolier,n.,ɛ̀-sə́ŋ
parasolier (sp),n.,kɔ̀mɔ̀
parcelle,n.,ù-kǎŋ
parcimonie,n.,mə̀-zɔ́y
pardonner,v.,jù
parenté,n.,ɛ̀-jóm
parenté,n.,ɛ̀-wálî
parent,n.,ì-vúvúmní
parent,n.,m̀-mònì
parenté,n.,ɛ̀-ɲǎŋ
paresse,n.,à-tə̌g
paresse,n.,pɔ̀ŋɔ́
paresse (sp),n.,à-súg
paresseux (être_),v.,tə̀gbə̀
parfum,n.,àlàbínâ
épargne,n.,ù-lìŋ
épargner,v.,kɔ̀y
épargner,v.,lìŋ
épargner,v.,này
pari,n.,ì-bán
parier,n.,ì-bán
parler,v.,jə́gî
parler,v.,kɔ́lɔ̂
parler (sp),v.,lɔ́bdânà
parler (sp),v.,pɔ́blân
parler (sp),v.,sɔ̀g
parole,n.,ɛ̀-vɔ́
parole,n.,ì-búg
parole,n.,ì-jə́gî
parole (prise de ),n.,ŋ̀-kɔ́lɔ̂
éparpillé,adv.,mbíꜜɔ́ŋ
éparpillé (être_),v.,càmnì
éparpiller,v.,càm
éparpiller,v.,càmnà
éparpiller,v.,sàz
éparpiller,v.,sɛ̀d
éparpiller,v.,zàmzà
éparpiller (s’_ ),v.,càmnì
parsemé,n adj.,ì-tə́ŋ
part,n.,ŋgàb
part de sa nourriture (sp),n.,mə̀-màŋzà
partage,n.,ɛ̀-kàb
partage,n.,ŋgàb
partager,v.,kàb
partant,n.,ì-kə̀
partie,n.,ì-tùn
partie,n.,m̀-pág
partie de feuille,n.,ù-lɔ́ ká
partie de plante (sp),n.,ŋ̀-kɛ́ngà
partie du tambour à fentes,n.,ù-tə̀m ŋ́kúl
partir,v.,kódô
partir de,v.,tê
partir tôt,v.,kún
parturition,n.,ŋ̀-kòglò
passé,v.,màn
passage,n.,ɲ̀-ɲɔ́ŋ
passager,n.,ndòn
passer,v.,kàznì
passer,v.,lòd
passer (se ),v.,lòd
passereau (sp),n.,zâmà
passereau (sp),n.,ɲ̀-cáŋ
passereau (sp),n.,ɲjɔ́lí
passereau (sp),n.,ù-tɔ̀g
passoire,n.,ì-kùdgà
patate douce,n.,ɛ̀-bùdà
patience,n adj.,pǐn
patienter,v.,jíbâ
paître,n.,ì-lwág
patron,n.,mázâ
patte avec sabot,n.,ŋm̀-ŋmà
épaule,n.,ì-túl
épaule (sp),n.,ɛ̀-bán
paume,n.,d-ɔ́ íꜜtə́
pauvre,n.,m̀-múmúá
pauvre,n adj.,kúl
pauvre,n adj.,mə̀-bwâ
pauvreté,n adj.,mə̀-bwâ
pavillon (oreille),n.,à-lɔ́
payer,v.,yágnà
payer dot,v.,və̀g
pays,n.,ǹ-nàm
pêche (interdit),n.,bíná
pêche (sp),n.,à-lóg
pêche (sp),n.,à-lóg ŋgôm
pêche (sp),n.,ɲ̀-ɲɔ́b
pêcher,v.,jɔ́b
pécher,v.,sə́m
pédoncule,n.,ɲ̀-cì
peau,n.,ì-kòb
peau,n.,ì-kòglò
peau (graines),n.,ì-vùl
pectoraux,n.,ɛ̀-bé ɛ́ tó
peigne,n.,ì-wàz
peigne,n.,páágà
peigner,v.,wàz
peindre,v.,pɛ́n
peine,n.,mì-ntá
peine (prendre ),v.,túg
peinture,n.,pə́m
pellicule,n.,ì-báz
pellicule (sp),n.,ì-vùl
pencher (se ),v.,nìgbà
pencher (se ),v.,vìdbà
pencher (être_),v rés.,nìgá
pendant,prép.,átá
pendant (idéo),idéo.,kə̀b kə̀b
pendentif,n.,ì-tályɛ̀n
pendre,v.,kɛ̀lbə̀
Pennisetum purpureum,n.,ì-sòŋ
pennisetum (sp),n.,ǹ-nɔ̌ŋ
pensée,n.,ɲ̀-cògní
penser,v.,còg
percée (faire une ),v.,túbnà
perce-oreille,n.,óbónítô
percer,v.,tú
percer (se ),v.,twî
percevoir,v.,wóg
percevoir (odeur),v.,nùmlà
perdre,v.,dá
perdre,v.,lɔ́z
perdre du temps,v.,ndə̀ŋbə̀
perdre (se ),v.,dáŋ
perdrix,n.,ù-kpǎl
perdu (être_),v.,làmbà
perdu (être_),v.,pùdbà
perfusion,n.,ùndùndɔ̀ ŋ̀kùm
Perodicticus potto,n.,ɛ́wúnî
perplexe ( ),v rés.,nìgá
Persa americana,n.,pyâ
personne,n.,m-òd
personne jeune,n.,ì-náŋgà
persévérance,n.,ì-vág
perturbateur,n.,bì-dǐm
épervier,n.,ù-bàm
peser,v.,və̀g
pet,n.,ɲ̀-cùl
petit,adv.,cə̀càd
petit,n adj.,ì-kùŋá
petit,n adj.,ǹ-tɔ́gɔ̂
petit tour (faire ),v.,bɔ́glânà
petit (être_),v.,tɔ́gbɔ̂
peu,adv.,cə̀càd
peu,adv.,ndúŋ
peur,n.,ì-sìzà
peur,n.,w-ɔ̌ŋ
peur (avoir ),v.,pún
peur (faire ),v.,sìzà
peut-être,adv.,bɛ́n
Phialodiscus welwtschii,n.,ɛ̀-wóngí
phlyctène,n.,ì-tə́tóg
éphémère,n.,ndòn
photo,n.,pódô
phyllanthacée (sp),n.,à-sám
phyllanthacée (sp),n.,ì-bə́ꜜbə́ŋ
Phyllanthus discoideus,n.,ì-bə́ꜜbə́ŋ
piaffer,v.,swán
pian,n.,ɛ̀-bàdà
pièce,n.,d-ɔ́lɔ̂
pièce,n.,ì-tùn í ndá
pièce d’argent,n.,ì-kpàm
pièce (sp),n.,kábâ
pièce (sp),n.,síngì
pièce (25 centimes),n.,tɔ̀lápɛ̂n
épicerie,n.,ì-pàtìlá
épicicé,n.,ì-jǎŋ
picorer,v.,sɔ́g
pied,n.,à-kǒl
pied (sp),n.,ɛ̀-tín
pierre,n.,ŋgɔ̀g
piège,n.,ì-ŋgùlí
piège,n.,ù-lám
piège (sp),n.,ndɔ́ŋɔ́
piège (sp),n.,wúdá
pigeon,n.,ù-bə̌ŋ
pigeon (sp),n.,ɛ̀-pə̀b
piéger,v.,lám
pile,n.,ɛ̀-bág
épilepsie,n.,káná
piler,v.,cág
pillage,n.,ɲ̀-cà
pilosité,n.,ŋgàz
pimenté,n.,ì-jǎŋ
piment,n.,úndúndúá
piment (sp),n.,ì-kpə̀bà
piment (sp),n.,ì-lòbò
piment (sp),n.,lòbò
piment (sp),n.,ńtɔ́ŋ zûdà
piment (sp),n.,ù-là
pincement,n.,ì-mwázî
pince-oreille,n.,óbónítô
pincer,v.,jìdì
pincer,v.,pìg
épine,n.,ì-jɔ̌y
pingre,n adj.,ù-kág
pintade,n.,ŋ̀-káŋ
pioche,n.,ì-díkâz
pion,n.,m̀-mǎŋ
pipe,n.,ɛ̀-bùg
pipe,n.,mbə́ ì tàgà
pipe (sp),n.,ŋmg͡bìg
épiphyte,n.,bád ɛ́wálî
Piptadeniastrum africanum,n.,à-tú
Piptadeniastrum africanum,n.,ǹ-tɔ́
piquant,n.,ì-jǎŋ
piquant,n.,ì-jɔ̌y
piquant (être_),v.,jàŋ
pique-bœuf,n.,ùnwàn kág
piquer,v.,dígâ
piquer,v.,jìdì
piquer (sp),v.,sòblò
piquer (sp),v.,sɔ́g
pirogue,n.,m-ál
pirogue,n.,w-ǎl
pistache,n.,ŋgwǎn
pistache,n.,ɲ̀-cà
pistache (sauce de ),n.,ì-kɛ́lgí
pistache (sp),n.,síŋlâ
pistache (sp),n.,síŋlî
pitié,n.,ŋgwál
pitié (avoir ),v.,wóg
piétiner,v.,kwágdɔ̂
piétiner,v.,píd
piétiner,v.,síŋlâ
piétiner,v.,tìd
pivoter,v.,cìŋlàn
pivoter (faire ),v.,cìŋlànà
placenta,n.,ì-sòg
placer,v.,bə̀mì
placer,v.,tɛ́lî
plainte,n.,mbàŋ
plainte,n.,ŋ̀-kál
plainte,n.,ɲ̀-ɲón
plainte,n.,swâmnɔ̀
plaisanter,v.,lɔ́b
plaisanterie,n.,ì-làŋ
plaisanterie,n.,ɲ̀-ɲɔ́ŋ
plaisanterie,n.,pyàŋà
plaisanterie,n adj.,ì-lɔ̀bí
plaisanterie,n adj.,pyàŋà
plaisir,n.,mbá
plaisir,n.,ŋmg͡bɛ̀z
plaisir,n.,zám
plan,n.,ǹ-nímŋì
planche,n.,ɛ̀-bám
planche,n.,ì-bɔ́g
planche (jardin),n.,kàlà
planche (sp),n.,ì-bə́ꜜbɔ́g
plant,n.,ɛ̀-tín
planté,n adj.,m̀-bèèní
planté (être_),v rés.,bə̀mə́
plantain,n.,ì-kwàn
plantain (sp),n.,àlú vínâ
plantain (sp),n.,àvwàd mbə̀glə̀
plantain (sp),n.,ɛ̀sàŋ m̀mwágɔ̂
plantain (sp),n.,ì-lǎd
plantain (sp),n.,ì-sɔ́ŋ
plantain (sp),n.,ìtùnbɔ̂kɔ́gɔ́
plantain (sp),n.,ndwán
plantain (sp),n.,zwàgbɔ̀
plantation,n.,à-púb
plante cultivée,n.,ì-bə̀bə̀ə̀gə̀
plante médicinale (sp),n.,mbúꜜmbwí
plante (partie de ),n.,ŋ̀-kɛ́ngà
plante (sp),n.,àbɔ̀l zwàg
